Project Name,Address,Date,
Sudorare,0xbb42f789b39af41b796f6C28D4c4aa5aCE389d8A,2022/8/23,
NFTflow,0x253954d29386e174Ed4BC69902391a8ED3fd51ca,2022/3/14,
Pixel Penguin,0x7172b87400B850069C425Ecd18F2c2553B7Fb479,2022/5/30,
DMAN,0x1452FD05c0c090391e2d1529cB14fA3E9405d349,2023/5/7,
YODA,0xe9626D145a2C5261070828C1a2E1a8ad47411272,2023/5/4,
Fake Notcoin,0x216D82B8Da13375D3136fc4a5b2231bcd87Dd727,2024/5/16,
TITANX,0xAF3302F7a83Cb4e66B8f9450b00E7644e605878d,2023/10/30,
Kokomo Finance,0x41be327a34d5d2f0855ff7e4fb3f6f1748b3310f,2023/3/26,
Sex DAO,0x05feed0ee41DBCc2df6F155dD33681281281E008,2022/10/4,
Safereum,0x67c8423a7709aDB8ED31c04DcbB0C161637b807F,2023/10/23,
Julia,0x948BbF6003E2c14403D720699003345d368E95b9,2023/10/23,
Memecoin,0xBd72D445893aaD1Cf9dbCEc7c186f06F9D2B5871,2023/10/30,
BABYFIDO,0x45aF15b299De5e77b3DadCA429DD4ba466d7a448,2023/11/14,
Fake Masa,0x70d8b31f4eee0e9988d0b196531205a9d30ad104,2024/4/12,
Patton,0xB23baA7c45A9539b847846Fbb2066D2eE1ef9885,2024/5/13,
Fake Lifeform,0x829d2578aa1b013665e421ae894d055da2120cc8,2024/5/9,
NOVAMIND,0x9Cb6DD255A6bbe32130ce645ec45c0A3e9D87A4a,2024/5/2,
Empower AI,0xf445a2E240C73cFaaf0654202157F9c5457E5F73,2024/4/11,
Not Found (404),0x070669e366727369064633ef5702107D73Cee0e5,2024/2/9,
Sleepless AI,0xCf64487276E05afDc3eD669fB5DCEbb17000fD58,2023/12/28,
Ordinal Dex (ORDEX),0x797885C0a6CfffCbc4D2e3C1ca0B4F07112dB6a3,2023/12/25,
stoic_DAO,0x3f73d163Ef111a198e0076BFE5910B502A77e7dE,2023/12/11,
Abattoir of Zir,0x1bA6969b6236bFA500aB18cb6810b2A8C1Fbf2Df,2023/12/7,
Strong Finance,0x82a4f9c07d9eA46e8BE19f714e4A5083fdCAFfeF,2023/12/6,
MYX Finance,0x763458895ef39aA4622c412c486E2b0CEE02168d,2023/12/1,
Symbiogenesis,0x95a6FcB5cd21535f22dE07682927E0B83779C180,2023/11/28,
AssetClub,0x95a6FcB5cd21535f22dE07682927E0B83779C180,2023/11/28,
Expanso,0x95a6FcB5cd21535f22dE07682927E0B83779C180,2023/11/27,
Jewels,0x3d6b06939Ed5b1911C0f296029a1Be34DAbD6522,2023/11/23,
CredixFinance,0x45aF15b299De5e77b3DadCA429DD4ba466d7a448,2023/11/21,
BABYFIDO,0x45aF15b299De5e77b3DadCA429DD4ba466d7a448,2023/11/14,
Fake Celestia,0xCd68ACC0E6C94c0226B0d760D19951143ee7Aa44,2023/11/1,
Fake Memecoin,0x3417D4Fa067806f8F70C2A692548048962B7aC45,2023/10/30,
Fake MEMEPAD,0x51348a7c3969e670b1763D4B1C17441804eA001d,2023/10/30,
STIMMY,0x5bC749A299c5DE62325e1a676D53527149F7aa30,2023/10/27,
Fake Linea token,0x00000000fEB6A772307C6aA88AB9D57b209aCb18,2023/10/26,
zkFlex Finance,0x54855D3133669B7EF54A2c962F5f63fdb44bBaE9,2023/10/8,
Cat Nation,0xC9C1776802216e074eF7A19555cE70bB473B25c0,2023/9/23,
YZER,0xCBb391907A492a1e721bB16ae0563243E2B71987,2023/9/21,
PEPEP,0xD33830FcC5E434dBb4efF9D5348d74Ee2cbd505F,2023/9/21,
Fake Lybra Finance Token,0x30740f954cE02C0EedfB5F0EF2e8c3157BE3e000,2023/9/5,
Haribo,0x582992190976d9d96e5ABbB711259744A00e809e,2023/9/5,
CoredeFinance,0x6Fe397B88675bEb98797e14EEaF84021E5C054c9,2023/9/2,
BabyShia,0x846422103b109EFbE7DD15F541c3dfc838FC1848,2023/8/31,
Bitlord,0x781bd109834C534Dc0f799aFDF65e6eb5151b839,2023/8/6,
Smurfs,0x5F250ed62CF3E5cF25F4F370d35D04782b0678a3,2023/6/30,
Pixel Penguin,0x7172b87400B850069C425Ecd18F2c2553B7Fb479,2023/5/31,
HAKUNA,0xB0423D83021F7FbeA779e58e9bb6aF3618F34a55,2023/5/9,
HIS,0xcBFFd94B8422F3eB151c1B2AF3B8F3F35d1A14A6,2023/5/9,
FREDDIE,0xC3Ca6446E9004C59939493d6Cf2877412eAE44e0,2023/5/9,
DMAN,0xcf18022D77d67134dbf462B7484eB3788d56561C,2023/5/9,
GNS,0x1452FD05c0c090391e2d1529cB14fA3E9405d349,2023/5/9,
PEPG,0xd0EdE373762Fa3Bc58f02c5f2b61117d1976aD57,2023/5/9,
EC token,0x58819Da1a4e5e96C02Ced4631bDcb6Bd098d9514,2023/3/26,
Kokomo Finance,0x7Da25Bc4cFAed3F29414C6779676e53B19a356f5,2023/3/26,
Nostr,0xb363dA9A58A25A70042F9E9662c9f328018d50E6,2023/2/8,
